Gene,Description
Acaca,Acetyl-CoA carboxylase 1 OS=Mus musculus GN=Acaca PE=1 SV=1
Acacb,Acetyl-CoA carboxylase 1 OS=Mus musculus OX=10090 GN=Acaca PE=1 SV=1;Acetyl-CoA carboxylase 2 OS=Mus musculus OX=10090 GN=Acacb PE=1 SV=1
Acad10,Acyl-CoA dehydrogenase family member 10 OS=Mus musculus OX=10090 GN=Acad10 PE=1 SV=1
Acad11,Acyl-CoA dehydrogenase family member 11 OS=Mus musculus OX=10090 GN=Acad11 PE=1 SV=2
Acad8,"Isobutyryl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acad8 PE=1 SV=2"
Acad9,"Acyl-CoA dehydrogenase family member 9, mitochondrial OS=Mus musculus GN=Acad9 PE=1 SV=2"
Acadl,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadl PE=1 SV=2"
Acadm,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadm PE=1 SV=1"
Acads,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acads PE=1 SV=2"
Acadsb,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadsb PE=1 SV=1"
Acadvl,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadvl PE=1 SV=3"
Acan,Aggrecan core protein OS=Mus musculus OX=10090 GN=Acan PE=1 SV=2
Acap2,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Mus musculus GN=Acap2 PE=1 SV=2"
Acat1,"Acetyl-CoA acetyltransferase, mitochondrial OS=Mus musculus GN=Acat1 PE=1 SV=1"
Acat2,"Acetyl-CoA acetyltransferase, cytosolic OS=Mus musculus GN=Acat2 PE=1 SV=2"
Acbd3,Golgi resident protein GCP60 OS=Mus musculus GN=Acbd3 PE=1 SV=3
Acbd5,Acyl-CoA-binding domain-containing protein 5 OS=Mus musculus GN=Acbd5 PE=1 SV=1
Acbd6,Acyl-CoA-binding domain-containing protein 6 OS=Mus musculus GN=Acbd6 PE=1 SV=2
Accs,1-aminocyclopropane-1-carboxylate synthase-like protein 1 OS=Mus musculus OX=10090 GN=Accs PE=2 SV=1
Ace,Angiotensin-converting enzyme OS=Mus musculus GN=Ace PE=1 SV=3
Ace2,Angiotensin-converting enzyme 2 OS=Mus musculus OX=10090 GN=Ace2 PE=1 SV=1
Ache,Acetylcholinesterase OS=Mus musculus GN=Ache PE=1 SV=1
Acin1,Apoptotic chromatin condensation inducer in the nucleus OS=Mus musculus GN=Acin1 PE=1 SV=2
Acly,ATP-citrate synthase OS=Mus musculus GN=Acly PE=1 SV=1
Aco1,Cytoplasmic aconitate hydratase OS=Mus musculus GN=Aco1 PE=1 SV=2
Aco2,"Aconitate hydratase, mitochondrial OS=Mus musculus GN=Aco2 PE=1 SV=1"
Acot1,Acyl-coenzyme A thioesterase 1 OS=Mus musculus GN=Acot1 PE=1 SV=1
Acot10,"Acyl-coenzyme A thioesterase 10, mitochondrial OS=Mus musculus GN=Acot10 PE=2 SV=1"
Acot11,Acyl-coenzyme A thioesterase 11 OS=Mus musculus GN=Acot11 PE=1 SV=1
Acot13,Acyl-coenzyme A thioesterase 13 OS=Mus musculus GN=Acot13 PE=1 SV=1
Acot2,"Acyl-coenzyme A thioesterase 2, mitochondrial OS=Mus musculus GN=Acot2 PE=1 SV=1"
Acot3,Acyl-coenzyme A thioesterase 3 OS=Mus musculus GN=Acot3 PE=1 SV=1
Acot4,Acyl-coenzyme A thioesterase 4 OS=Mus musculus GN=Acot4 PE=1 SV=1
Acot5,Acyl-coenzyme A thioesterase 5 OS=Mus musculus GN=Acot5 PE=2 SV=2
Acot6,Acyl-coenzyme A thioesterase 6 OS=Mus musculus GN=Acot6 PE=1 SV=1
Acot7,Cytosolic acyl coenzyme A thioester hydrolase OS=Mus musculus GN=Acot7 PE=1 SV=2
Acot8,Acyl-coenzyme A thioesterase 8 OS=Mus musculus OX=10090 GN=Acot8 PE=1 SV=1
Acot9,"Acyl-coenzyme A thioesterase 9, mitochondrial OS=Mus musculus GN=Acot9 PE=1 SV=1"
Acox1,Peroxisomal acyl-coenzyme A oxidase 1 OS=Mus musculus GN=Acox1 PE=1 SV=5
Acox3,Peroxisomal acyl-coenzyme A oxidase 3 OS=Mus musculus GN=Acox3 PE=1 SV=2
Acp1,Low molecular weight phosphotyrosine protein phosphatase OS=Mus musculus GN=Acp1 PE=1 SV=3
Acp2,Lysosomal acid phosphatase OS=Mus musculus GN=Acp2 PE=1 SV=2
Acp6,Lysophosphatidic acid phosphatase type 6 OS=Mus musculus GN=Acp6 PE=1 SV=1
Acpp,Prostatic acid phosphatase OS=Mus musculus OX=10090 GN=Acpp PE=2 SV=1
Acrv1,Acrosomal protein SP-10 OS=Mus musculus GN=Acrv1 PE=1 SV=2
Acsbg1,Long-chain-fatty-acid--CoA ligase ACSBG1 OS=Mus musculus GN=Acsbg1 PE=1 SV=1
Acsf2,"Acyl-CoA synthetase family member 2, mitochondrial OS=Mus musculus GN=Acsf2 PE=1 SV=1"
Acsf3,"Acyl-CoA synthetase family member 3, mitochondrial OS=Mus musculus GN=Acsf3 PE=1 SV=2"
Acsl1,Long-chain-fatty-acid--CoA ligase 1 OS=Mus musculus GN=Acsl1 PE=1 SV=1
Acsl3,Long-chain-fatty-acid--CoA ligase 3 OS=Mus musculus GN=Acsl3 PE=1 SV=2
Acsl4,Long-chain-fatty-acid--CoA ligase 4 OS=Mus musculus GN=Acsl4 PE=1 SV=2
Acsl5,Long-chain-fatty-acid--CoA ligase 5 OS=Mus musculus GN=Acsl5 PE=1 SV=1
Acsl6,Long-chain-fatty-acid--CoA ligase 6 OS=Mus musculus GN=Acsl6 PE=1 SV=1
Acss1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial OS=Mus musculus GN=Acss1 PE=1 SV=1"
Acss2,"Acetyl-coenzyme A synthetase, cytoplasmic OS=Mus musculus GN=Acss2 PE=1 SV=1"
Acss3,"Acyl-CoA synthetase short-chain family member 3, mitochondrial OS=Mus musculus OX=10090 GN=Acss3 PE=1 SV=2"
Acta1,"Actin, alpha skeletal muscle OS=Mus musculus GN=Acta1 PE=1 SV=1"
Acta2,"Actin, aortic smooth muscle OS=Mus musculus GN=Acta2 PE=1 SV=1"
Actb,"Actin, cytoplasmic 1 OS=Mus musculus GN=Actb PE=1 SV=1"
Actbl2,Beta-actin-like protein 2 OS=Mus musculus GN=Actbl2 PE=2 SV=1
Actc1,"Actin, alpha cardiac muscle 1 OS=Mus musculus GN=Actc1 PE=1 SV=1"
Actg1,"Actin, cytoplasmic 2 OS=Mus musculus GN=Actg1 PE=1 SV=1"
Actg2,"Actin, gamma-enteric smooth muscle OS=Mus musculus GN=Actg2 PE=1 SV=1"
Actl6a,Actin-like protein 6A OS=Mus musculus GN=Actl6a PE=2 SV=2
Actl6b,Actin-like protein 6B OS=Mus musculus GN=Actl6b PE=1 SV=1
Actn1,Alpha-actinin-1 OS=Mus musculus GN=Actn1 PE=1 SV=1
Actn2,Alpha-actinin-2 OS=Mus musculus GN=Actn2 PE=1 SV=1
Actn3,Alpha-actinin-3 OS=Mus musculus OX=10090 GN=Actn3 PE=2 SV=1
Actn4,Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1
Actr10,Actin-related protein 10 OS=Mus musculus GN=Actr10 PE=1 SV=1
Actr1a,Alpha-centractin OS=Mus musculus GN=Actr1a PE=1 SV=1
Actr1b,Beta-centractin OS=Mus musculus GN=Actr1b PE=1 SV=1
Actr2,Actin-related protein 2 OS=Mus musculus GN=Actr2 PE=1 SV=1
Actr3,Actin-related protein 3 OS=Mus musculus GN=Actr3 PE=1 SV=3
Actr3b,Actin-related protein 3B OS=Mus musculus GN=Actr3b PE=1 SV=1
Actr5,Actin-related protein 5 OS=Mus musculus OX=10090 GN=Actr5 PE=1 SV=3
Actr8,Actin-related protein 8 OS=Mus musculus OX=10090 GN=Actr8 PE=2 SV=1
Acvr1,Activin receptor type-1 OS=Mus musculus OX=10090 GN=Acvr1 PE=2 SV=2
Acvr1b,Activin receptor type-1B OS=Mus musculus OX=10090 GN=Acvr1b PE=1 SV=1
Acvr1c,Activin receptor type-1C OS=Mus musculus OX=10090 GN=Acvr1c PE=2 SV=3
Acvr2a,Activin receptor type-2A OS=Mus musculus OX=10090 GN=Acvr2a PE=1 SV=1
Acy1,Aminoacylase-1 OS=Mus musculus GN=Acy1 PE=1 SV=1
Acy3,N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming) OS=Mus musculus OX=10090 GN=Acy3 PE=1 SV=1
Acyp1,Acylphosphatase-1 OS=Mus musculus GN=Acyp1 PE=1 SV=2
Acyp2,Acylphosphatase-2 OS=Mus musculus GN=Acyp2 PE=1 SV=2
Ada,Adenosine deaminase OS=Mus musculus OX=10090 GN=Ada PE=1 SV=3
Adal,Adenosine deaminase-like protein OS=Mus musculus OX=10090 GN=Adal PE=2 SV=1
Adam10,Disintegrin and metalloproteinase domain-containing protein 10 OS=Mus musculus OX=10090 GN=Adam10 PE=1 SV=2
Adam11,Disintegrin and metalloproteinase domain-containing protein 11 OS=Mus musculus GN=Adam11 PE=1 SV=2
Adam15,Disintegrin and metalloproteinase domain-containing protein 15 OS=Mus musculus OX=10090 GN=Adam15 PE=1 SV=2
Adam17,Disintegrin and metalloproteinase domain-containing protein 17 OS=Mus musculus OX=10090 GN=Adam17 PE=1 SV=3
Adam22,Disintegrin and metalloproteinase domain-containing protein 22 OS=Mus musculus GN=Adam22 PE=1 SV=2
Adam23,Disintegrin and metalloproteinase domain-containing protein 23 OS=Mus musculus GN=Adam23 PE=1 SV=1
Adam9,Disintegrin and metalloproteinase domain-containing protein 9 OS=Mus musculus OX=10090 GN=Adam9 PE=1 SV=2
Adamts2,A disintegrin and metalloproteinase with thrombospondin motifs 2 OS=Mus musculus OX=10090 GN=Adamts2 PE=1 SV=2
Adamts20,A disintegrin and metalloproteinase with thrombospondin motifs 20 OS=Mus musculus OX=10090 GN=Adamts20 PE=2 SV=2
Adamts4,A disintegrin and metalloproteinase with thrombospondin motifs 4 OS=Mus musculus OX=10090 GN=Adamts4 PE=2 SV=2
Adap2,Arf-GAP with dual PH domain-containing protein 2 OS=Mus musculus OX=10090 GN=Adap2 PE=1 SV=1
Adar,Double-stranded RNA-specific adenosine deaminase OS=Mus musculus GN=Adar PE=1 SV=2
Adarb1,Double-stranded RNA-specific editase 1 OS=Mus musculus GN=Adarb1 PE=1 SV=1
Adarb2,Double-stranded RNA-specific editase B2 OS=Mus musculus OX=10090 GN=Adarb2 PE=2 SV=2
Adck1,AarF domain-containing protein kinase 1 OS=Mus musculus OX=10090 GN=Adck1 PE=1 SV=1
Adck5,Uncharacterized aarF domain-containing protein kinase 5 OS=Mus musculus OX=10090 GN=Adck5 PE=2 SV=2
Adcy1,Adenylate cyclase type 1 OS=Mus musculus GN=Adcy1 PE=1 SV=2
Adcy2,Adenylate cyclase type 2 OS=Mus musculus GN=Adcy2 PE=1 SV=2
Adcy3,Adenylate cyclase type 3 OS=Mus musculus OX=10090 GN=Adcy3 PE=1 SV=2
Adcy4,Adenylate cyclase type 4 OS=Mus musculus OX=10090 GN=Adcy4 PE=1 SV=1
Adcy5,Adenylate cyclase type 5 OS=Mus musculus GN=Adcy5 PE=1 SV=2
Adcy6,Adenylate cyclase type 6 OS=Mus musculus OX=10090 GN=Adcy6 PE=1 SV=1
Adcy7,Adenylate cyclase type 7 OS=Mus musculus GN=Adcy7 PE=2 SV=2
Adcy8,Adenylate cyclase type 8 OS=Mus musculus GN=Adcy8 PE=1 SV=2
Adcy9,Adenylate cyclase type 9 OS=Mus musculus GN=Adcy9 PE=1 SV=1
Adcyap1,Pituitary adenylate cyclase-activating polypeptide OS=Mus musculus OX=10090 GN=Adcyap1 PE=2 SV=1
Adcyap1r1,Pituitary adenylate cyclase-activating polypeptide type I receptor OS=Mus musculus GN=Adcyap1r1 PE=1 SV=1
Add1,Alpha-adducin OS=Mus musculus GN=Add1 PE=1 SV=2
Add2,Beta-adducin OS=Mus musculus GN=Add2 PE=1 SV=4
Add3,Gamma-adducin OS=Mus musculus GN=Add3 PE=1 SV=1
Adgra1,Adhesion G protein-coupled receptor A1 OS=Mus musculus OX=10090 GN=Adgra1 PE=2 SV=1
Adgra2,Adhesion G protein-coupled receptor A2 OS=Mus musculus OX=10090 GN=Adgra2 PE=1 SV=2
Adgra3,Adhesion G protein-coupled receptor A3 OS=Mus musculus OX=10090 GN=Adgra3 PE=2 SV=3
Adgrb1,Adhesion G protein-coupled receptor B1 OS=Mus musculus OX=10090 GN=Adgrb1 PE=1 SV=1
Adgrb2,Adhesion G protein-coupled receptor B2 OS=Mus musculus GN=Adgrb2 PE=1 SV=2
Adgrb3,Adhesion G protein-coupled receptor B3 OS=Mus musculus GN=Adgrb3 PE=1 SV=2
Adgre1,Adhesion G protein-coupled receptor E1 OS=Mus musculus OX=10090 GN=Adgre1 PE=1 SV=1
Adgrf1,Adhesion G-protein coupled receptor F1 OS=Mus musculus OX=10090 GN=Adgrf1 PE=2 SV=2
Adgrg1,Adhesion G-protein coupled receptor G1 OS=Mus musculus GN=Adgrg1 PE=1 SV=1
Adgrg2,Adhesion G-protein coupled receptor G2 OS=Mus musculus OX=10090 GN=Adgrg2 PE=1 SV=1
Adgrl1,Adhesion G protein-coupled receptor L1 OS=Mus musculus GN=Adgrl1 PE=1 SV=2
Adgrl2,Adhesion G protein-coupled receptor L2 OS=Mus musculus GN=Adgrl2 PE=1 SV=3
Adgrl3,Adhesion G protein-coupled receptor L3 OS=Mus musculus GN=Adgrl3 PE=1 SV=3
Adgrv1,Adhesion G-protein coupled receptor V1 OS=Mus musculus OX=10090 GN=Adgrv1 PE=1 SV=1
Adh1,Alcohol dehydrogenase 1 OS=Mus musculus GN=Adh1 PE=1 SV=2
Adh5,Alcohol dehydrogenase class-3 OS=Mus musculus GN=Adh5 PE=1 SV=3
Adh7,Alcohol dehydrogenase class 4 mu/sigma chain OS=Mus musculus OX=10090 GN=Adh7 PE=2 SV=2
Adhfe1,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Adhfe1 PE=1 SV=2"
Adi1,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase OS=Mus musculus OX=10090 GN=Adi1 PE=1 SV=1"
Adipor1,Adiponectin receptor protein 1 OS=Mus musculus OX=10090 GN=Adipor1 PE=1 SV=1
Adk,Adenosine kinase OS=Mus musculus GN=Adk PE=1 SV=2
Adnp,Activity-dependent neuroprotector homeobox protein OS=Mus musculus GN=Adnp PE=2 SV=1
Ado,2-aminoethanethiol dioxygenase OS=Mus musculus GN=Ado PE=1 SV=2
Adora1,Adenosine receptor A1 OS=Mus musculus OX=10090 GN=Adora1 PE=2 SV=4
Adora2a,Adenosine receptor A2a OS=Mus musculus OX=10090 GN=Adora2a PE=1 SV=3
Adpgk,ADP-dependent glucokinase OS=Mus musculus GN=Adpgk PE=1 SV=2
Adprh,[Protein ADP-ribosylarginine] hydrolase OS=Mus musculus GN=Adprh PE=1 SV=1
Adprhl2,ADP-ribose glycohydrolase ARH3 OS=Mus musculus OX=10090 GN=Adprhl2 PE=1 SV=1
Adra1a,Alpha-1A adrenergic receptor OS=Mus musculus OX=10090 GN=Adra1a PE=1 SV=3
Adra1b,Alpha-1B adrenergic receptor OS=Mus musculus OX=10090 GN=Adra1b PE=1 SV=2
Adra2a,Alpha-2A adrenergic receptor OS=Mus musculus GN=Adra2a PE=1 SV=1
Adrb1,Beta-1 adrenergic receptor OS=Mus musculus OX=10090 GN=Adrb1 PE=1 SV=2
Adrbk1,Beta-adrenergic receptor kinase 1 OS=Mus musculus GN=Adrbk1 PE=2 SV=2
Adrbk2,Beta-adrenergic receptor kinase 2 OS=Mus musculus GN=Adrbk2 PE=1 SV=2
Adrm1,Proteasomal ubiquitin receptor ADRM1 OS=Mus musculus GN=Adrm1 PE=1 SV=2
Adsl,Adenylosuccinate lyase OS=Mus musculus GN=Adsl PE=1 SV=2
Adss,Adenylosuccinate synthetase isozyme 2 OS=Mus musculus GN=Adss PE=1 SV=2
Adss1,Adenylosuccinate synthetase isozyme 1 OS=Mus musculus OX=10090 GN=Adss1 PE=1 SV=2
Adss2,Adenylosuccinate synthetase isozyme 2 OS=Mus musculus OX=10090 GN=Adss2 PE=1 SV=2
Adssl1,Adenylosuccinate synthetase isozyme 1 OS=Mus musculus GN=Adssl1 PE=1 SV=2
Aes,Amino-terminal enhancer of split OS=Mus musculus GN=Aes PE=1 SV=1
Afap1,Actin filament-associated protein 1 OS=Mus musculus GN=Afap1 PE=1 SV=1
Afap1l1,Actin filament-associated protein 1-like 1 OS=Mus musculus OX=10090 GN=Afap1l1 PE=1 SV=1
Afap1l2,Actin filament-associated protein 1-like 2 OS=Mus musculus OX=10090 GN=Afap1l2 PE=1 SV=2
Afdn,Afadin OS=Mus musculus GN=Afdn PE=1 SV=3
Aff2,AF4/FMR2 family member 2 OS=Mus musculus OX=10090 GN=Aff2 PE=2 SV=2
Aff4,AF4/FMR2 family member 4 OS=Mus musculus OX=10090 GN=Aff4 PE=1 SV=1
Afg1l,AFG1-like ATPase OS=Mus musculus OX=10090 GN=Afg1l PE=1 SV=1
Afg3l1,AFG3-like protein 1 OS=Mus musculus GN=Afg3l1 PE=1 SV=2
Afg3l2,AFG3-like protein 2 OS=Mus musculus GN=Afg3l2 PE=1 SV=1
Afm,Afamin OS=Mus musculus OX=10090 GN=Afm PE=1 SV=2
Afp,Alpha-fetoprotein OS=Mus musculus GN=Afp PE=2 SV=1
Aftph,Aftiphilin OS=Mus musculus GN=Aftph PE=1 SV=2
Aga,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase OS=Mus musculus OX=10090 GN=Aga PE=1 SV=1
Agap1,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 OS=Mus musculus GN=Agap1 PE=1 SV=1"
Agap2,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2 OS=Mus musculus GN=Agap2 PE=1 SV=1"
